$0;1496076212983357044;1.10;KIEKER-SINGLETON;a6b9179e06cd;1;false;0;NANOSECONDS;1
$1;1496076217458147864;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A7B513D3788B831F44CE4448FAAB926A;6081829821787144244;1496076217433498873;1496076217458141413;a6b9179e06cd;3;3
$1;1496076217458208976;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A7B513D3788B831F44CE4448FAAB926A;6081829821787144244;1496076217433471489;1496076217458204646;a6b9179e06cd;2;2
$1;1496076217461823027;HTTP_VetsService.GET;A7B513D3788B831F44CE4448FAAB926A;6081829821787144244;1496076217432718100;1496076217461786301;a6b9179e06cd;1;1
$1;1496076217791561326;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();BA192BBCF628423643EA682C4C65492A;6081829821787144251;1496076217777282341;1496076217791547282;a6b9179e06cd;4;4
$1;1496076217794752226;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();BA192BBCF628423643EA682C4C65492A;6081829821787144251;1496076217774975440;1496076217794721799;a6b9179e06cd;3;3
$1;1496076217794849921;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();BA192BBCF628423643EA682C4C65492A;6081829821787144251;1496076217774873585;1496076217794837566;a6b9179e06cd;2;2
$1;1496076217797802195;HTTP_VetsService.GET;BA192BBCF628423643EA682C4C65492A;6081829821787144251;1496076217774048493;1496076217797763881;a6b9179e06cd;1;1
$1;1496076218104281634;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();D3BE4C6A76A58A6C80B099809FC45BD0;6081829821787144258;1496076218091020689;1496076218104267142;a6b9179e06cd;4;4
$1;1496076218107041480;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();D3BE4C6A76A58A6C80B099809FC45BD0;6081829821787144258;1496076218088948719;1496076218107031842;a6b9179e06cd;3;3
$1;1496076218107091568;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();D3BE4C6A76A58A6C80B099809FC45BD0;6081829821787144258;1496076218088919584;1496076218107086259;a6b9179e06cd;2;2
