$0;1494946399607628626;1.10;KIEKER-SINGLETON;6eea74558600;1;false;0;NANOSECONDS;1
$1;1494946515060860722;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();031604BAF077E773F3E0EFFAA57345DD;4164281542945800262;1494946515015419666;1494946515060857546;6eea74558600;2;2
$1;1494946515066965987;HTTP_VetsService.GET;031604BAF077E773F3E0EFFAA57345DD;4164281542945800262;1494946515014058514;1494946515066933698;6eea74558600;1;1
$1;1494946515553767017;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515528562770;1494946515553760499;6eea74558600;4;4
$1;1494946515558807759;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515520492030;1494946515558799525;6eea74558600;3;3
$1;1494946515559502394;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515520479746;1494946515559495289;6eea74558600;2;2
$1;1494946515568305806;HTTP_VetsService.GET;6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515519851948;1494946515568290265;6eea74558600;1;1
$1;1494946515987147187;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515974472005;1494946515987140470;6eea74558600;4;4
$1;1494946515988390721;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515966771309;1494946515988385364;6eea74558600;3;3
$1;1494946515990088351;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515966756044;1494946515990082665;6eea74558600;2;2
$1;1494946515997815644;HTTP_VetsService.GET;610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515965909737;1494946515997799594;6eea74558600;1;1
$1;1494946516425057246;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();278B5F41E5CE1CF526ADF84BC40F0FEF;4164281542945800286;1494946516410616205;1494946516425049559;6eea74558600;4;4
$1;1494946516430792350;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();278B5F41E5CE1CF526ADF84BC40F0FEF;4164281542945800286;1494946516409622913;1494946516430781533;6eea74558600;3;3
$1;1494946516432658594;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();278B5F41E5CE1CF526ADF84BC40F0FEF;4164281542945800286;1494946516409608574;1494946516432652635;6eea74558600;2;2
$1;1494946516445556091;HTTP_VetsService.GET;278B5F41E5CE1CF526ADF84BC40F0FEF;4164281542945800286;1494946516409214245;1494946516445539340;6eea74558600;1;1
$1;1494946517048544299;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();E4B98191EE6B571CD301D828772F4213;4164281542945800294;1494946517000774304;1494946517048536074;6eea74558600;4;4
$1;1494946517050747170;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();E4B98191EE6B571CD301D828772F4213;4164281542945800294;1494946516991894720;1494946517050740023;6eea74558600;3;3
$1;1494946517051022422;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();E4B98191EE6B571CD301D828772F4213;4164281542945800294;1494946516991882195;1494946517051016862;6eea74558600;2;2
$1;1494946517058802937;HTTP_VetsService.GET;E4B98191EE6B571CD301D828772F4213;4164281542945800294;1494946516991271648;1494946517058783867;6eea74558600;1;1
$1;1494946517642057730;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();AB8E20FE4269D3E5485BA157F1820B1A;4164281542945800302;1494946517611939388;1494946517642051584;6eea74558600;4;4
$1;1494946517643586589;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();AB8E20FE4269D3E5485BA157F1820B1A;4164281542945800302;1494946517609533090;1494946517643580754;6eea74558600;3;3
$1;1494946517643702172;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();AB8E20FE4269D3E5485BA157F1820B1A;4164281542945800302;1494946517609523499;1494946517643699338;6eea74558600;2;2
